3	7	12	96.00
1	3	27	63.34
4	2	16	79.20
4	6	8	40.00
0	2	8	40.48
0	4	20	101.20
5	5	8	34.92
0	0	20	119.90
5	1	8	39.96
2	2	28	76.44
4	4	20	105.00
0	6	20	96.80
1	3	36	74.52
3	1	15	121.20
4	0	12	57.60
4	4	8	38.40
5	1	12	58.32
2	6	14	39.90
2	4	21	67.41
2	0	21	63.00
3	3	15	124.40
5	1	16	77.76
0	6	16	83.60
3	5	6	43.20
1	7	45	114.89
4	2	20	88.00
1	5	36	92.74
0	0	16	85.36
3	5	6	48.48
1	1	36	81.14
1	7	36	89.42
2	6	35	100.80
4	6	20	94.00
2	4	21	66.15
2	2	28	73.92
4	4	16	88.00
4	6	16	80.00
4	2	8	39.60
4	0	8	35.60
1	5	18	45.95
5	7	8	32.04
0	0	12	68.64
5	3	8	34.92
2	2	28	92.40
0	4	8	48.84
2	0	28	80.64
5	5	8	34.92
4	2	12	58.80
1	1	36	92.74
1	5	18	43.06
5	7	20	99.90
3	5	12	95.04
1	5	36	77.00
5	3	12	51.84
5	7	8	32.04
1	3	45	106.61
0	6	8	47.08
3	3	9	72.00
1	7	27	68.31
4	6	12	67.20
3	3	9	73.44
5	5	12	53.46
0	3	20	96.80
1	7	45	94.19
3	5	6	43.68
5	3	8	40.32
2	4	21	69.93
5	3	16	66.24
3	7	9	75.60
0	4	16	89.76
3	1	15	118.80
1	3	36	89.42
0	4	20	112.20
5	3	8	31.68
1	5	27	69.55
0	2	20	105.60
3	1	12	88.32
2	0	28	86.52
0	0	8	45.76
3	7	9	66.96
3	1	6	47.52
0	2	12	64.02
3	3	12	90.24
3	3	6	53.28
4	4	8	37.60
0	0	12	72.60
5	1	16	79.92
5	1	8	36.00
0	4	8	45.32
3	3	9	68.40
5	5	8	36.00
0	6	20	105.60
2	0	28	86.52
3	7	6	44.64
4	2	20	92.00
2	4	28	91.56
2	6	35	115.50
3	1	9	71.28
5	7	8	34.56
2	2	28	88.20
1	1	36	77.00
5	5	20	98.10
5	1	12	60.48
4	6	12	60.60
4	0	20	102.00
1	7	36	82.80
1	1	27	59.00
1	6	18	43.47
3	7	6	42.72
1	7	27	59.00
4	2	8	37.60
0	2	20	112.20
2	2	21	57.33
3	7	6	52.80
1	3	27	57.13
0	2	8	39.16
3	5	12	107.52
5	5	20	99.90
0	6	16	81.84
4	4	8	36.00
2	0	28	92.40
3	1	6	48.48
2	6	28	78.12
0	6	8	41.36
0	0	20	100.10
5	3	20	97.20
2	0	35	111.30
0	4	20	117.70
2	4	28	89.88
2	6	14	38.22
2	6	14	40.32
1	1	27	67.69
4	0	16	84.80
1	3	27	60.24
4	0	20	104.00
2	2	14	39.48
5	7	8	33.48
1	1	18	39.74
4	0	8	39.20
4	4	20	96.00
